x y z r g b
562.5 500.0 9.809999227523804 152 154 165
562.5 500.0 13.079998970031738 130 150 131
562.5 500.0 16.349998712539673 76 139 167
562.5 500.0 19.619998455047607 55 132 114
562.5 500.0 22.889998197555542 72 144 152
562.5 562.5 3.2699997425079346 181 189 102
562.5 562.5 6.539999485015869 180 157 181
562.5 562.5 9.809999227523804 179 148 179
562.5 562.5 13.079998970031738 154 184 126
562.5 562.5 16.349998712539673 94 136 152
562.5 562.5 19.619998455047607 56 133 104
562.5 562.5 22.889998197555542 73 144 146
562.5 562.5 26.159997940063477 60 102 144
562.5 625.0 3.2699997425079346 163 181 95
562.5 625.0 6.539999485015869 194 183 146
562.5 625.0 9.809999227523804 182 178 139
562.5 625.0 13.079998970031738 143 179 116
562.5 625.0 16.349998712539673 107 113 131
562.5 625.0 19.619998455047607 69 96 120
562.5 625.0 22.889998197555542 68 132 132
562.5 625.0 26.159997940063477 74 85 119
562.5 687.5 3.2699997425079346 162 185 91
562.5 687.5 6.539999485015869 188 206 102
562.5 687.5 9.809999227523804 178 195 122
562.5 687.5 13.079998970031738 156 175 122
562.5 687.5 16.349998712539673 128 112 152
562.5 687.5 19.619998455047607 104 90 132
562.5 687.5 22.889998197555542 73 120 124
562.5 687.5 26.159997940063477 101 88 96
562.5 750.0 6.539999485015869 160 214 58
562.5 750.0 9.809999227523804 147 217 61
562.5 750.0 13.079998970031738 137 190 87
562.5 750.0 16.349998712539673 116 164 120
562.5 750.0 19.619998455047607 90 132 93
562.5 750.0 22.889998197555542 72 134 104
562.5 750.0 26.159997940063477 108 110 86
562.5 812.5 9.809999227523804 83 181 48
562.5 812.5 13.079998970031738 88 175 72
562.5 812.5 16.349998712539673 77 179 93
562.5 812.5 19.619998455047607 75 128 98
562.5 812.5 22.889998197555542 52 125 113
562.5 875.0 13.079998970031738 74 125 64
562.5 875.0 16.349998712539673 63 155 70
562.5 875.0 19.619998455047607 63 125 109
625.0 62.5 9.809999227523804 117 16 95
625.0 62.5 13.079998970031738 116 44 136
625.0 62.5 16.349998712539673 118 28 95
625.0 62.5 19.619998455047607 74 64 61
625.0 62.5 22.889998197555542 95 42 103
625.0 125.0 6.539999485015869 171 20 127
625.0 125.0 9.809999227523804 158 10 118
625.0 125.0 13.079998970031738 158 27 143
625.0 125.0 16.349998712539673 180 19 92
625.0 125.0 19.619998455047607 111 34 77
625.0 125.0 22.889998197555542 106 43 121
625.0 125.0 26.159997940063477 132 76 97
625.0 187.5 3.2699997425079346 201 33 111
625.0 187.5 6.539999485015869 197 39 143
625.0 187.5 9.809999227523804 205 31 146
625.0 187.5 13.079998970031738 199 45 124
625.0 187.5 16.349998712539673 207 39 81
625.0 187.5 19.619998455047607 148 40 71
625.0 187.5 22.889998197555542 114 64 119
625.0 187.5 26.159997940063477 100 92 101
625.0 250.0 3.2699997425079346 240 61 112
625.0 250.0 6.539999485015869 229 71 126
625.0 250.0 9.809999227523804 228 93 134
625.0 250.0 13.079998970031738 219 92 90
625.0 250.0 16.349998712539673 179 84 66
625.0 250.0 19.619998455047607 136 93 73
625.0 250.0 22.889998197555542 119 99 109
625.0 250.0 26.159997940063477 87 93 124
625.0 312.5 3.2699997425079346 232 96 100
625.0 312.5 6.539999485015869 223 98 100
625.0 312.5 9.809999227523804 212 123 106
625.0 312.5 13.079998970031738 188 100 84
625.0 312.5 16.349998712539673 133 75 113
625.0 312.5 19.619998455047607 100 102 120
625.0 312.5 22.889998197555542 103 89 136
625.0 375.0 3.2699997425079346 230 127 105
625.0 375.0 6.539999485015869 219 127 94
625.0 375.0 9.809999227523804 211 142 115
625.0 375.0 13.079998970031738 171 107 127
625.0 375.0 16.349998712539673 132 87 171
625.0 375.0 19.619998455047607 83 104 154
625.0 437.5 3.2699997425079346 223 125 108
625.0 437.5 6.539999485015869 201 149 120
625.0 437.5 9.809999227523804 181 174 135
625.0 437.5 13.079998970031738 152 135 144
625.0 437.5 16.349998712539673 132 130 167
625.0 437.5 19.619998455047607 72 125 141
625.0 500.0 3.2699997425079346 213 151 115
625.0 500.0 6.539999485015869 183 141 168
625.0 500.0 9.809999227523804 176 150 165
625.0 500.0 13.079998970031738 166 141 135
625.0 500.0 16.349998712539673 124 140 134
625.0 500.0 19.619998455047607 64 132 119
625.0 562.5 3.2699997425079346 191 175 94
625.0 562.5 6.539999485015869 207 149 160
625.0 562.5 9.809999227523804 201 158 148
625.0 562.5 13.079998970031738 189 158 105
625.0 562.5 16.349998712539673 132 140 111
625.0 562.5 19.619998455047607 69 143 123
625.0 562.5 22.889998197555542 106 147 104
625.0 625.0 3.2699997425079346 168 170 93
625.0 625.0 6.539999485015869 202 181 115
625.0 625.0 9.809999227523804 191 184 114
625.0 625.0 13.079998970031738 166 169 106
625.0 625.0 16.349998712539673 109 106 131
625.0 625.0 19.619998455047607 65 120 150
625.0 625.0 22.889998197555542 73 149 118
625.0 625.0 26.159997940063477 72 122 125
625.0 687.5 3.2699997425079346 169 171 65
625.0 687.5 6.539999485015869 193 202 68
625.0 687.5 9.809999227523804 195 199 93
625.0 687.5 13.079998970031738 179 177 100
625.0 687.5 16.349998712539673 138 119 150
625.0 687.5 19.619998455047607 96 121 140
625.0 687.5 22.889998197555542 73 142 130
625.0 687.5 26.159997940063477 83 114 112
625.0 750.0 6.539999485015869 166 195 33
625.0 750.0 9.809999227523804 141 210 45
625.0 750.0 13.079998970031738 156 191 68
625.0 750.0 16.349998712539673 132 180 95
625.0 750.0 19.619998455047607 88 143 101
625.0 750.0 22.889998197555542 72 147 108
625.0 750.0 26.159997940063477 86 125 85
625.0 812.5 9.809999227523804 78 173 49
625.0 812.5 13.079998970031738 100 181 48
625.0 812.5 16.349998712539673 98 194 71
625.0 812.5 19.619998455047607 78 138 104
625.0 812.5 22.889998197555542 56 140 99
625.0 812.5 26.159997940063477 85 110 74
625.0 875.0 13.079998970031738 68 134 43
625.0 875.0 16.349998712539673 61 178 52
625.0 875.0 19.619998455047607 65 131 99
625.0 875.0 22.889998197555542 33 115 96
687.5 62.5 9.809999227523804 104 39 107
687.5 62.5 13.079998970031738 130 38 120
687.5 62.5 16.349998712539673 105 37 96
687.5 62.5 19.619998455047607 51 72 109
687.5 62.5 22.889998197555542 109 32 122
687.5 125.0 6.539999485015869 149 15 121
687.5 125.0 9.809999227523804 139 20 118
687.5 125.0 13.079998970031738 154 42 119
687.5 125.0 16.349998712539673 138 24 85
687.5 125.0 19.619998455047607 82 51 117
687.5 125.0 22.889998197555542 121 58 140
